payment_id,application_id,payment_number,due_date,payment_date,amount_due,amount_paid,payment_status,payment_completeness
PAY000165,CUST00006,9,2025-08-16,2025-08-18,2216.19,2289.05,Late,Complete
PAY000166,CUST00006,10,2025-09-16,2025-09-16,2216.19,2241.66,On Time,Complete
PAY000167,CUST00006,11,2025-10-16,2025-10-17,2216.19,2320.77,Late,Complete
PAY000168,CUST00006,12,2025-11-16,2025-11-20,2216.19,2284.43,Late,Complete
PAY000169,CUST00006,13,2025-12-16,2025-12-19,2216.19,2108.29,Late,Partial
PAY000170,CUST00006,14,2026-01-16,2026-01-15,2216.19,2180.58,On Time,Partial
PAY000171,CUST00006,15,2026-02-16,2026-02-14,2216.19,2122.66,On Time,Partial
PAY000172,CUST00006,16,2026-03-16,2026-03-14,2216.19,2183.04,On Time,Partial
PAY000173,CUST00006,17,2026-04-16,2026-04-16,2216.19,2109.28,On Time,Partial
PAY000174,CUST00006,18,2026-05-16,2026-05-18,2216.19,2288.1,Late,Complete
PAY000175,CUST00006,19,2026-06-16,2026-06-17,2216.19,2130.17,Late,Partial
PAY000176,CUST00006,20,2026-07-16,2026-07-20,2216.19,2143.9,Late,Partial
PAY000177,CUST00006,21,2026-08-16,2026-08-14,2216.19,2166.91,On Time,Partial
PAY000178,CUST00006,22,2026-09-16,2026-09-19,2216.19,2294.27,Late,Complete
PAY000179,CUST00006,23,2026-10-16,2026-10-19,2216.19,2192.28,Late,Partial
PAY000180,CUST00006,24,2026-11-16,2026-11-19,2216.19,2133.66,Late,Partial
PAY000181,CUST00007,1,2024-04-12,2024-04-12,2945.92,2806.0,On Time,Partial
PAY000182,CUST00007,2,2024-05-12,2024-05-13,2945.92,2971.26,Late,Complete
PAY000183,CUST00007,3,2024-06-12,2024-06-12,2945.92,2892.47,On Time,Partial
PAY000184,CUST00007,4,2024-07-12,2024-07-11,2945.92,3084.81,On Time,Complete
PAY000185,CUST00007,5,2024-08-12,2024-08-11,2945.92,2984.55,On Time,Complete
PAY000186,CUST00007,6,2024-09-12,2024-09-16,2945.92,2865.3,Late,Partial
PAY000187,CUST00007,7,2024-10-12,2024-10-11,2945.92,2991.64,On Time,Complete
PAY000188,CUST00007,8,2024-11-12,2024-11-11,2945.92,2859.99,On Time,Partial
PAY000189,CUST00007,9,2024-12-12,2024-12-11,2945.92,2846.16,On Time,Partial
PAY000190,CUST00007,10,2025-01-12,2025-01-11,2945.92,2877.35,On Time,Partial
PAY000191,CUST00007,11,2025-02-12,2025-02-13,2945.92,3066.14,Late,Complete
PAY000192,CUST00007,12,2025-03-12,2025-03-10,2945.92,2817.59,On Time,Partial
PAY000193,CUST00007,13,2025-04-12,2025-04-14,2945.92,2918.89,Late,Partial
PAY000194,CUST00007,14,2025-05-12,2025-05-16,2945.92,2834.88,Late,Partial
PAY000195,CUST00007,15,2025-06-12,2025-06-10,2945.92,2931.16,On Time,Partial
PAY000196,CUST00007,16,2025-07-12,2025-07-15,2945.92,3048.66,Late,Complete
PAY000197,CUST00007,17,2025-08-12,2025-08-15,2945.92,2877.41,Late,Partial
PAY000198,CUST00007,18,2025-09-12,2025-09-12,2945.92,2867.83,On Time,Partial
PAY000199,CUST00007,19,2025-10-12,2025-10-13,2945.92,2925.5,Late,Partial
PAY000200,CUST00007,20,2025-11-12,2025-11-12,2945.92,3033.2,On Time,Complete
PAY000201,CUST00007,21,2025-12-12,2025-12-12,2945.92,2862.78,On Time,Partial
PAY000202,CUST00007,22,2026-01-12,2026-01-10,2945.92,3079.25,On Time,Complete
PAY000203,CUST00007,23,2026-02-12,2026-02-13,2945.92,2991.08,Late,Complete
PAY000204,CUST00007,24,2026-03-12,2026-03-16,2945.92,2852.73,Late,Partial
PAY000205,CUST00010,1,2024-01-30,2024-02-01,375.61,374.54,Late,Partial
PAY000206,CUST00010,2,2024-02-29,2024-02-29,375.61,365.61,On Time,Partial
PAY000207,CUST00010,3,2024-03-30,2024-04-03,375.61,377.7,Late,Complete
PAY000208,CUST00010,4,2024-04-30,2024-04-28,375.61,386.44,On Time,Complete
PAY000209,CUST00010,5,2024-05-30,2024-06-01,375.61,377.33,Late,Complete
PAY000210,CUST00010,6,2024-06-30,2024-07-02,375.61,357.19,Late,Partial
PAY000211,CUST00010,7,2024-07-30,2024-07-29,375.61,394.27,On Time,Complete
PAY000212,CUST00010,8,2024-08-30,2024-08-30,375.61,394.03,On Time,Complete
PAY000213,CUST00010,9,2024-09-30,2024-09-30,375.61,374.54,On Time,Partial
PAY000214,CUST00010,10,2024-10-30,2024-10-31,375.61,380.35,Late,Complete
PAY000215,CUST00010,11,2024-11-30,2024-11-28,375.61,388.47,On Time,Complete
PAY000216,CUST00010,12,2024-12-30,2024-12-28,375.61,365.38,On Time,Partial
PAY000217,CUST00010,13,2025-01-30,2025-01-29,375.61,379.87,On Time,Complete
PAY000218,CUST00010,14,2025-02-28,2025-02-27,375.61,391.49,On Time,Complete
PAY000219,CUST00010,15,2025-03-30,2025-04-02,375.61,362.8,Late,Partial
PAY000220,CUST00010,16,2025-04-30,2025-04-28,375.61,372.11,On Time,Partial
PAY000221,CUST00010,17,2025-05-30,2025-05-31,375.61,392.2,Late,Complete
PAY000222,CUST00010,18,2025-06-30,2025-07-04,375.61,363.08,Late,Partial
PAY000223,CUST00010,19,2025-07-30,2025-07-30,375.61,394.33,On Time,Complete
PAY000224,CUST00010,20,2025-08-30,2025-08-31,375.61,386.59,Late,Complete
PAY000225,CUST00010,21,2025-09-30,2025-10-01,375.61,390.15,Late,Complete
PAY000226,CUST00010,22,2025-10-30,2025-11-01,375.61,368.04,Late,Partial
PAY000227,CUST00010,23,2025-11-30,2025-11-30,375.61,372.14,On Time,Partial
PAY000228,CUST00010,24,2025-12-30,2025-12-31,375.61,358.51,Late,Partial
PAY000229,CUST00010,25,2026-01-30,2026-01-28,375.61,374.73,On Time,Partial
PAY000230,CUST00010,26,2026-02-28,2026-02-27,375.61,367.32,On Time,Partial
PAY000231,CUST00010,27,2026-03-30,2026-04-02,375.61,358.9,Late,Partial
PAY000232,CUST00010,28,2026-04-30,2026-05-03,375.61,365.75,Late,Partial
PAY000233,CUST00010,29,2026-05-30,2026-05-28,375.61,357.62,On Time,Partial
PAY000234,CUST00010,30,2026-06-30,2026-06-30,375.61,372.58,On Time,Partial
PAY000235,CUST00010,31,2026-07-30,2026-08-02,375.61,387.16,Late,Complete
PAY000236,CUST00010,32,2026-08-30,2026-09-03,375.61,391.44,Late,Complete
PAY000237,CUST00010,33,2026-09-30,2026-09-30,375.61,362.96,On Time,Partial
PAY000238,CUST00010,34,2026-10-30,2026-10-31,375.61,368.77,Late,Partial
PAY000239,CUST00010,35,2026-11-30,2026-12-01,375.61,385.96,Late,Complete
PAY000240,CUST00010,36,2026-12-30,2027-01-03,375.61,385.71,Late,Complete
PAY000241,CUST00010,37,2027-01-30,2027-01-31,375.61,379.98,Late,Complete
PAY000242,CUST00010,38,2027-02-28,2027-03-01,375.61,392.19,Late,Complete
PAY000243,CUST00010,39,2027-03-30,2027-04-03,375.61,392.2,Late,Complete
PAY000244,CUST00010,40,2027-04-30,2027-05-04,375.61,382.36,Late,Complete
PAY000245,CUST00010,41,2027-05-30,2027-06-02,375.61,371.59,Late,Partial
PAY000246,CUST00010,42,2027-06-30,2027-06-29,375.61,376.24,On Time,Complete
PAY000247,CUST00010,43,2027-07-30,2027-07-29,375.61,378.91,On Time,Complete
PAY000248,CUST00010,44,2027-08-30,2027-08-31,375.61,371.13,Late,Partial
PAY000249,CUST00010,45,2027-09-30,2027-10-03,375.61,389.96,Late,Complete
PAY000250,CUST00010,46,2027-10-30,2027-11-02,375.61,374.66,Late,Partial
PAY000251,CUST00010,47,2027-11-30,2027-11-30,375.61,371.77,On Time,Partial
PAY000252,CUST00010,48,2027-12-30,2027-12-28,375.61,372.91,On Time,Partial
PAY000253,CUST00011,1,2024-12-01,2024-12-03,1238.93,1191.9,Late,Partial
PAY000254,CUST00011,2,2025-01-01,2025-01-03,1238.93,1197.87,Late,Partial
PAY000255,CUST00011,3,2025-02-01,2025-02-05,1238.93,1213.63,Late,Partial
PAY000256,CUST00011,4,2025-03-01,2025-03-02,1238.93,1291.06,Late,Complete
PAY000257,CUST00011,5,2025-04-01,2025-04-04,1238.93,1211.13,Late,Partial
PAY000258,CUST00011,6,2025-05-01,2025-04-29,1238.93,1229.77,On Time,Partial
PAY000259,CUST00011,7,2025-06-01,2025-06-01,1238.93,1210.34,On Time,Partial
PAY000260,CUST00011,8,2025-07-01,2025-07-01,1238.93,1191.19,On Time,Partial
PAY000261,CUST00011,9,2025-08-01,2025-08-05,1238.93,1293.56,Late,Complete
PAY000262,CUST00011,10,2025-09-01,2025-08-30,1238.93,1272.98,On Time,Complete
PAY000263,CUST00011,11,2025-10-01,2025-10-01,1238.93,1222.54,On Time,Partial
PAY000264,CUST00011,12,2025-11-01,2025-11-05,1238.93,1215.42,Late,Partial
PAY000265,CUST00011,13,2025-12-01,2025-11-30,1238.93,1183.04,On Time,Partial
PAY000266,CUST00011,14,2026-01-01,2026-01-05,1238.93,1237.62,Late,Partial
PAY000267,CUST00011,15,2026-02-01,2026-01-31,1238.93,1270.51,On Time,Complete
PAY000268,CUST00011,16,2026-03-01,2026-02-28,1238.93,1224.14,On Time,Partial
PAY000269,CUST00011,17,2026-04-01,2026-03-31,1238.93,1193.08,On Time,Partial
PAY000270,CUST00011,18,2026-05-01,2026-05-01,1238.93,1274.48,On Time,Complete
PAY000271,CUST00011,19,2026-06-01,2026-05-30,1238.93,1271.98,On Time,Complete
PAY000272,CUST00011,20,2026-07-01,2026-07-02,1238.93,1296.47,Late,Complete
PAY000273,CUST00011,21,2026-08-01,2026-08-03,1238.93,1189.95,Late,Partial
PAY000274,CUST00011,22,2026-09-01,2026-08-30,1238.93,1223.05,On Time,Partial
PAY000275,CUST00011,23,2026-10-01,2026-10-03,1238.93,1189.13,Late,Partial
PAY000276,CUST00011,24,2026-11-01,2026-11-02,1238.93,1225.83,Late,Partial
PAY000277,CUST00011,25,2026-12-01,2026-12-05,1238.93,1265.78,Late,Complete
PAY000278,CUST00011,26,2027-01-01,2027-01-05,1238.93,1248.09,Late,Complete
PAY000279,CUST00011,27,2027-02-01,2027-02-01,1238.93,1193.68,On Time,Partial
PAY000280,CUST00011,28,2027-03-01,2027-02-28,1238.93,1271.26,On Time,Complete
PAY000281,CUST00011,29,2027-04-01,2027-03-30,1238.93,1277.74,On Time,Complete
PAY000282,CUST00011,30,2027-05-01,2027-05-02,1238.93,1222.62,Late,Partial
PAY000283,CUST00011,31,2027-06-01,2027-05-30,1238.93,1264.16,On Time,Complete
PAY000284,CUST00011,32,2027-07-01,2027-07-03,1238.93,1217.03,Late,Partial
PAY000285,CUST00011,33,2027-08-01,2027-08-02,1238.93,1191.27,Late,Partial
PAY000286,CUST00011,34,2027-09-01,2027-09-01,1238.93,1296.07,On Time,Complete
PAY000287,CUST00011,35,2027-10-01,2027-10-03,1238.93,1210.6,Late,Partial
PAY000288,CUST00011,36,2027-11-01,2027-11-02,1238.93,1230.73,Late,Partial
PAY000289,CUST00011,37,2027-12-01,2027-11-29,1238.93,1237.91,On Time,Partial
PAY000290,CUST00011,38,2028-01-01,2028-01-02,1238.93,1275.7,Late,Complete
PAY000291,CUST00011,39,2028-02-01,2028-01-30,1238.93,1209.42,On Time,Partial
PAY000292,CUST00011,40,2028-03-01,2028-03-02,1238.93,1230.24,Late,Partial
PAY000293,CUST00011,41,2028-04-01,2028-04-03,1238.93,1214.77,Late,Partial
PAY000294,CUST00011,42,2028-05-01,2028-05-01,1238.93,1256.43,On Time,Complete
PAY000295,CUST00011,43,2028-06-01,2028-06-04,1238.93,1263.63,Late,Complete
PAY000296,CUST00011,44,2028-07-01,2028-07-01,1238.93,1243.77,On Time,Complete
PAY000297,CUST00011,45,2028-08-01,2028-08-05,1238.93,1196.43,Late,Partial
PAY000298,CUST00011,46,2028-09-01,2028-08-30,1238.93,1199.66,On Time,Partial
PAY000299,CUST00011,47,2028-10-01,2028-09-29,1238.93,1199.42,On Time,Partial
PAY000300,CUST00011,48,2028-11-01,2028-10-31,1238.93,1195.41,On Time,Partial
PAY000301,CUST00016,1,2023-11-26,2023-11-30,1547.51,1491.1,Late,Partial
PAY000302,CUST00016,2,2023-12-26,2023-12-27,1547.51,1584.43,Late,Complete
PAY000303,CUST00016,3,2024-01-26,2024-01-29,1547.51,1496.47,Late,Partial
PAY000304,CUST00016,4,2024-02-26,2024-02-26,1547.51,1519.78,On Time,Partial
PAY000305,CUST00016,5,2024-03-26,2024-03-24,1547.51,1475.23,On Time,Partial
PAY000306,CUST00016,6,2024-04-26,2024-04-30,1547.51,1562.64,Late,Complete
PAY000307,CUST00016,7,2024-05-26,2024-05-26,1547.51,1472.97,On Time,Partial
PAY000308,CUST00016,8,2024-06-26,2024-06-25,1547.51,1584.87,On Time,Complete
PAY000309,CUST00016,9,2024-07-26,2024-07-28,1547.51,1566.37,Late,Complete
PAY000310,CUST00016,10,2024-08-26,2024-08-24,1547.51,1506.86,On Time,Partial
PAY000311,CUST00016,11,2024-09-26,2024-09-28,1547.51,1577.23,Late,Complete
PAY000312,CUST00016,12,2024-10-26,2024-10-25,1547.51,1562.19,On Time,Complete
